gene_symbol	sample_genesPerSample	sample_tmpg	sample_genesPerSample	sample_tmpg	sample	GrandMean
AC145613.1	1.0	1.0	1.0	1.0	1.0	1.0
ACTR3BP6	1.0	1.0	1.0	1.0	1.0	1.0
CU104787.1	1.0	1.0	1.0	1.0	1.0	1.0
FRG1FP	1.0	1.0	1.0	1.0	1.0	1.0
