"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-5686938"	"Regulation of TLR by endogenous ligand"	"2/35"	"19/10654"	0.00173108105850862	0.0969980792363	0.0822921646309537	"929/3146"	2
"R-HSA-975138"	"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation"	"3/35"	"92/10654"	0.00333945411409569	0.0969980792363	0.0822921646309537	"466/929/3146"	3
"R-HSA-168181"	"Toll Like Receptor 7/8 (TLR7/8) Cascade"	"3/35"	"93/10654"	0.00344304957078535	0.0969980792363	0.0822921646309537	"466/929/3146"	3
"R-HSA-975155"	"MyD88 dependent cascade initiated on endosome"	"3/35"	"93/10654"	0.00344304957078535	0.0969980792363	0.0822921646309537	"466/929/3146"	3
"R-HSA-166058"	"MyD88:MAL(TIRAP) cascade initiated on plasma membrane"	"3/35"	"95/10654"	0.00365612033238099	0.0969980792363	0.0822921646309537	"466/929/3146"	3
"R-HSA-168188"	"Toll Like Receptor TLR6:TLR2 Cascade"	"3/35"	"95/10654"	0.00365612033238099	0.0969980792363	0.0822921646309537	"466/929/3146"	3
