"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"R-HSA-9617629"	"Regulation of FOXO transcriptional activity by acetylation"	"2/41"	"10/10654"	0.00063765826767928	0.142267914062775	0.117222564400181	"2033/2308"	2
"R-HSA-5617833"	"Cilium Assembly"	"5/41"	"201/10654"	0.000981158028019138	0.142267914062775	0.117222564400181	"583/22897/55142/11020/150737"	5
"R-HSA-9614657"	"FOXO-mediated transcription of cell death genes"	"2/41"	"16/10654"	0.00167573174413578	0.146895192595651	0.121035240360119	"2033/2308"	2
"R-HSA-156902"	"Peptide chain elongation"	"3/41"	"89/10654"	0.00477662962251255	0.146895192595651	0.121035240360119	"23521/9045/11224"	3
"R-HSA-192823"	"Viral mRNA Translation"	"3/41"	"89/10654"	0.00477662962251255	0.146895192595651	0.121035240360119	"23521/9045/11224"	3
"R-HSA-72766"	"Translation"	"5/41"	"291/10654"	0.00491996730997551	0.146895192595651	0.121035240360119	"116540/51649/23521/9045/11224"	5
